symbol,timeframe,num_trades,param_ema_len,param_macd_fast,param_macd_slow,param_macd_signal,param_rsi_len,param_rsi_ob,param_rsi_os,param_atr_len,metric_total_return_pct,metric_max_drawdown_pct,metric_profit_factor,metric_win_rate_pct,metric_num_trades,metric_expectancy,metric_sharpe_ratio,metric_mar_ratio,metric_exposure_pct,metric_final_capital
BTC/USDT,1h,15,20,8,21,9,14,70,30,14,-1.7999120249780027,-3.997232522928361,0.48973498249263037,53.333333333333336,15,-9.999804499951136,-0.07729623159611318,-0.4502895477442459,20.0,9820.0087975022
BTC/USDT,1h,16,20,8,26,9,14,70,30,14,-1.6395417398353855,-3.837372607462606,0.5510326488650277,56.25,16,-8.248628624657155,-0.06216294145567855,-0.4272563307110026,20.0,9836.045826016461
BTC/USDT,1h,16,20,12,21,9,14,70,30,14,-1.6395417398353855,-3.837372607462606,0.5510326488650278,56.25,16,-8.248628624657147,-0.062295012814064625,-0.4272563307110026,20.0,9836.045826016461
BTC/USDT,1h,15,20,12,26,9,14,70,30,14,-0.5999102249775388,-2.9936428595068714,0.8571292830673416,66.66666666666666,15,-1.9998004999501158,0.0006154900677677218,-0.2003947207905619,15.0,9940.008977502246
BTC/USDT,1h,13,30,8,21,9,14,70,30,14,-1.5187116945279193,-3.984183154280733,0.500087349831129,53.84615384615385,13,-9.687465883404984,-0.0684485173612265,-0.3811852105484075,10.0,9848.128830547208
BTC/USDT,1h,14,30,8,26,9,14,70,30,14,-1.3583414093853208,-3.8418445193942166,0.5716145956347858,57.14285714285714,14,-7.708431927108005,-0.052456867691204404,-0.3535649093887601,10.0,9864.165859061468
BTC/USDT,1h,14,30,12,21,9,14,70,30,14,-1.3583414093853208,-3.8418445193942166,0.571614595634786,57.14285714285714,14,-7.708431927107997,-0.052643074379236,-0.3535649093887601,10.0,9864.165859061468
BTC/USDT,1h,13,30,12,26,9,14,70,30,14,-0.3187098945274374,-2.996763863576243,0.9646434951241675,69.23076923076923,13,-0.456692037249951,0.014709113596452581,-0.10635135400595065,15.0,9968.129010547256
BTC/USDT,1h,10,40,8,21,9,14,70,30,14,-0.19953984983496412,-2.7179273850053236,1.0001746996622591,70.0,10,0.00220050055007448,0.017118419831018687,-0.07341618136518878,5.0,9980.046015016504
BTC/USDT,1h,10,40,8,26,9,14,70,30,14,-0.1995398498349459,-2.717927385005323,1.0001746996622614,70.0,10,0.002200500550102902,0.017055451306927354,-0.07341618136518209,5.0,9980.046015016505
BTC/USDT,1h,10,40,12,21,9,14,70,30,14,-0.1995398498349459,-2.717927385005323,1.0001746996622627,70.0,10,0.002200500550118534,0.016962235146233202,-0.07341618136518209,5.0,9980.046015016505
BTC/USDT,1h,9,40,12,26,9,14,70,30,14,0.23963076485770218,-2.61256345028285,1.4997738691014584,77.77777777777779,9,4.664558388361821,0.05044094904883568,0.0917224670014267,5.0,10023.96307648577
BTC/USDT,4h,17,20,8,21,9,14,70,30,14,-1.4784314544078916,-4.64190302867279,0.6124595849347314,58.82352941176471,17,-6.701238145897804,-0.04466563303991409,-0.31849684176418563,14.457831325301203,9852.15685455921
BTC/USDT,4h,16,20,8,26,9,14,70,30,14,-2.2392626397156707,-4.944661708111616,0.4286845407893948,50.0,16,-11.997630499407652,-0.09577011825466085,-0.4528646795072363,19.27710843373494,9776.073736028433
BTC/USDT,4h,18,20,12,21,9,14,70,30,14,-1.9192620697155143,-5.080626145990064,0.5358274021839511,55.55555555555556,18,-8.664559388362104,-0.06729258443562833,-0.3777609323272706,14.457831325301203,9808.073793028449
BTC/USDT,4h,17,20,12,26,9,14,70,30,14,-2.680093255023312,-5.385492323419258,0.38101159850110466,47.05882352941176,17,-13.764888735339856,-0.11830695176908554,-0.49765055710296074,18.072289156626507,9731.990674497669
BTC/USDT,4h,14,30,8,21,9,14,70,30,14,-1.9604623101655851,-4.62819502908631,0.4285763039836577,50.0,14,-12.001576928965678,-0.08950690502040846,-0.423591118750373,16.867469879518072,9803.953768983441
BTC/USDT,4h,14,30,8,26,9,14,70,30,14,-1.9604623101655851,-4.62819502908631,0.4285763039836577,50.0,14,-12.001576928965678,-0.08950690502040846,-0.423591118750373,16.867469879518072,9803.953768983441
BTC/USDT,4h,15,30,12,21,9,14,70,30,14,-2.4012929254732263,-5.0690256443939505,0.37496505317986584,46.666666666666664,15,-14.004206501051657,-0.1130238832319433,-0.47371883551800875,16.867469879518072,9759.870707452677
BTC/USDT,4h,15,30,12,26,9,14,70,30,14,-2.4012929254732263,-5.0690256443939505,0.3749650531798661,46.666666666666664,15,-14.004206501051641,-0.1132592539429563,-0.47371883551800875,15.66265060240964,9759.870707452677
BTC/USDT,4h,14,40,8,21,9,14,70,30,14,-0.7588005095501102,-3.8882261782711107,0.7716697375035758,64.28571428571429,14,-3.4242869275002965,-0.010213123908052714,-0.1951533873699469,10.843373493975903,9924.119949044989
BTC/USDT,4h,14,40,8,26,9,14,70,30,14,-0.7588005095501102,-3.8882261782711107,0.7716697375035767,64.28571428571429,14,-3.4242869275002823,-0.010259197940210617,-0.1951533873699469,10.843373493975903,9924.119949044989
BTC/USDT,4h,15,40,12,21,9,14,70,30,14,-1.1996311248577514,-4.326949295588386,0.6429325651747863,60.0,15,-5.998735833017296,-0.03566469242152802,-0.27724640223560176,10.843373493975903,9880.036887514225
BTC/USDT,4h,14,40,12,26,9,14,70,30,14,-0.758800509550092,-3.8882261782710925,0.7716697375035761,64.28571428571429,14,-3.4242869275002943,-0.010843223769168157,-0.19515338736994312,12.048192771084338,9924.11994904499
